Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 96.96,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Shehdol,Beohari,Antawala,Forest Products,30,2100,2100,2100,18-Sep-22
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,5.95,5000,5000,5000,02-Dec-23
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.56,5000,5000,5000,31-Jul-23
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,3,5000,5000,5000,06-Apr-23
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.5,6000,6000,6000,24-Dec-22
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,0.6,5000,5000,5000,23-Sep-22
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,8.64,5000,5001,5001,19-Jul-22
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,4.5,3000,3000,3000,06-Apr-19
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,0.5,3000,3000,3000,31-Mar-19
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,18.6,4000,4000,4000,31-Dec-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,3,5000,5000,5000,28-Oct-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.5,8000,8000,8000,26-May-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,4.36,7000,7000,7000,11-May-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,3.2,6000,6000,6000,27-Apr-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.29,6000,6000,6000,13-Mar-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,2.29,6000,6000,6000,12-Mar-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,1,8000,8000,8000,27-Feb-18
Madhya Pradesh,Dindori,Dindori,Antawala,Forest Products,1.47,4000,4000,4000,07-Feb-18
