Both Price And Arrival from 01-Jan-2018 To 09-Apr-2024 Total Arrival- 2443.50,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Alirajpur,Alirajpur,Other,Cereals,3,1000,1000,1000,01-May-23
Madhya Pradesh,Alirajpur,Alirajpur,Other,Cereals,8.2,1200,1200,1200,17-Nov-19
Madhya Pradesh,Alirajpur,Alirajpur,Other,Cereals,5,1400,1400,1400,02-May-19
Madhya Pradesh,Alirajpur,Alirajpur,Other,Cereals,3.6,900,1000,950,24-Jun-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,5,1100,1400,1200,20-Jul-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2,1000,1200,1100,10-May-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2,1000,1200,1100,08-May-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.5,1100,1300,1200,26-Apr-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2,1000,1200,1100,18-Apr-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,0.7,1000,1200,1100,11-Apr-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.2,1100,1300,1200,08-Apr-19
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2.5,1000,1000,1000,23-Nov-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.5,1000,1000,1000,15-Nov-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.5,800,1000,900,05-Nov-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1,900,1000,950,03-Nov-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,10,1000,1100,1050,30-Oct-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2.2,1000,1000,1000,29-Oct-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1,1000,1000,1000,27-Oct-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2.5,1000,1000,1000,26-Oct-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.2,1000,1000,1000,21-Oct-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1,1000,1200,1100,15-Oct-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,2,1000,1200,1100,30-Jul-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.4,950,1000,1000,16-Jul-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.4,1000,1200,1100,11-Jun-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1.1,1100,1300,1200,19-Mar-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,1,1000,1200,1100,25-Jan-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,4,900,1100,1000,03-Jan-18
Madhya Pradesh,Ujjain,Unhel,Beaten Rice,Cereals,3,1840,1840,1840,08-Jun-19
Madhya Pradesh,Ujjain,Unhel,Beaten Rice,Cereals,"2,356.00",2727,3381,3238,19-Dec-18
Madhya Pradesh,Ujjain,Unhel,Beaten Rice,Cereals,15,3852,3852,3852,16-Nov-18
